Student_ID,Java,Python,C++,SQL,DSA,OOP,Git,Spring_Boot,React,AWS,Communication,Aptitude,Problem_Solving,Teamwork,CGPA,Projects,Internships,Certifications,Employable
S00080,1,1,1,0,1,0,0,0,0,0,1,4,5,2,7.41,3,1,1,No
S00081,0,0,0,1,0,1,1,1,1,0,7,2,6,5,5.58,6,3,5,No
S00082,0,1,0,1,0,0,1,1,1,1,1,5,8,2,7.44,2,1,3,No
S00083,1,1,1,0,0,1,1,0,0,0,7,9,3,3,8.73,2,0,4,No
S00084,1,0,1,1,1,1,0,1,0,1,2,1,8,4,6.7,3,2,7,No
S00085,1,1,1,1,1,1,1,0,1,0,5,9,3,10,5.25,4,1,3,Yes
S00086,1,1,0,1,1,0,1,0,0,1,3,2,9,6,5.6,7,2,1,Yes
S00087,0,1,0,1,0,0,0,0,0,1,1,9,3,10,6.13,0,3,4,No
S00088,0,1,0,0,0,0,0,1,0,0,6,10,4,8,7.8,8,2,4,Yes
S00089,0,1,0,1,1,0,1,0,0,0,8,3,10,9,8.02,7,1,5,Yes
S00090,1,1,1,0,1,1,1,0,0,0,6,6,1,5,8.75,2,2,7,Yes
S00091,1,0,0,1,1,1,0,0,0,0,6,2,7,1,8.14,0,2,7,No
S00092,0,0,0,1,0,0,1,0,1,0,7,1,2,7,5.02,5,2,1,No
S00093,0,0,0,1,1,1,1,0,1,1,1,5,6,7,7.5,2,0,0,No
S00094,0,1,1,1,0,1,1,1,1,0,5,10,10,8,9.97,7,2,2,Yes
S00095,0,1,0,1,0,1,1,0,0,1,6,2,10,8,8.18,4,1,4,Yes
S00096,1,1,1,0,0,0,1,1,0,0,1,4,4,4,7.09,6,2,8,Yes
S00097,1,1,0,0,0,0,1,0,0,1,10,5,2,2,5.69,1,3,7,No
S00098,1,1,0,1,1,0,1,0,0,0,8,8,9,3,6.67,7,3,0,Yes
S00099,1,0,1,1,0,1,0,1,0,1,3,6,10,1,8.16,7,1,4,Yes
S00100,1,1,0,1,0,1,1,0,1,0,5,9,5,2,7.41,2,1,8,Yes
S00101,1,0,1,0,0,0,1,1,1,0,6,2,2,10,9.39,1,0,2,No
S00102,0,1,1,0,0,1,1,0,0,0,1,5,8,2,5.22,4,2,4,No
S00103,1,1,1,0,1,0,1,1,0,0,5,3,3,6,6.95,7,3,8,Yes
S00104,1,1,1,1,1,1,1,1,1,1,7,9,6,4,6.77,8,1,4,Yes
S00105,0,1,1,0,0,0,1,0,0,1,4,6,8,4,6.23,0,2,3,No
S00106,1,1,1,1,0,0,1,0,1,0,6,3,9,1,7.67,7,0,5,Yes
S00107,1,0,0,1,1,1,0,0,0,1,9,1,4,10,7.23,5,1,3,Yes
S00108,0,0,0,1,1,1,1,0,1,0,3,6,5,6,9.28,1,2,4,No
S00109,1,0,1,0,1,0,0,0,0,1,10,6,3,4,7.8,1,1,1,No
S00110,1,1,1,0,1,0,1,0,1,0,2,9,3,1,8.21,2,1,0,No
S00111,1,0,0,0,1,1,1,0,1,1,8,8,9,1,7.74,7,1,6,Yes
S00112,1,0,0,0,0,1,1,0,1,0,3,4,1,8,6.15,4,0,8,No
S00113,0,1,0,1,1,1,0,0,0,1,2,10,2,8,7.99,8,2,6,Yes
S00114,0,0,1,0,1,0,1,0,0,1,7,10,4,5,9.98,4,0,5,Yes
S00115,0,1,0,1,1,1,0,0,1,0,8,2,5,2,8.19,7,1,4,Yes
S00116,0,1,1,1,0,0,1,0,1,0,5,6,7,9,8.34,4,3,5,Yes
S00117,0,1,1,1,0,1,1,1,0,0,7,2,3,9,9.1,6,1,1,Yes
S00118,1,1,1,0,0,1,0,0,1,1,2,2,5,2,5.05,6,3,4,No
S00119,0,1,0,0,1,0,1,0,1,0,8,7,7,5,7.01,5,0,4,No
S00120,1,1,1,1,1,1,1,1,0,0,2,4,10,6,8.47,5,1,0,Yes
S00121,0,0,1,1,0,1,1,1,0,0,3,3,3,5,5.74,6,0,6,No
S00122,0,0,0,1,1,0,1,0,0,0,1,9,9,2,9.78,3,0,1,No
S00123,1,0,0,1,1,1,0,0,1,0,8,7,1,9,8.6,8,3,2,Yes
S00124,1,1,1,1,0,0,1,0,0,0,6,1,2,10,9.5,4,0,5,Yes
S00125,1,1,1,1,0,0,1,1,0,0,3,7,7,7,9.11,8,1,5,Yes
S00126,1,1,0,1,1,1,0,0,0,1,4,4,2,7,9.95,4,0,2,No
S00127,0,0,0,1,1,1,0,0,1,0,3,1,9,10,7.68,5,3,6,Yes
S00128,0,1,0,1,1,1,1,0,0,0,10,7,8,10,9.21,2,0,6,Yes
S00129,1,1,1,1,1,0,0,0,1,0,2,9,10,7,5.96,7,1,8,Yes
S00130,1,0,1,1,0,0,0,1,0,1,3,3,6,9,5.06,5,2,6,Yes
S00131,1,1,0,0,0,0,0,1,1,0,9,5,5,6,5.68,2,1,1,No
S00132,1,1,0,0,0,0,1,1,0,0,1,1,5,9,8.06,5,3,0,No
S00133,1,0,1,0,0,1,1,1,1,1,7,2,8,6,9.72,4,2,0,Yes
S00134,1,1,1,1,1,1,1,1,1,0,1,5,9,8,6.77,6,0,6,Yes
S00135,0,1,1,1,0,0,1,0,0,0,9,1,4,2,9.6,2,1,6,Yes
S00136,1,1,1,0,0,0,1,0,0,0,6,7,4,8,6.69,5,2,7,Yes
S00137,1,1,0,1,0,1,1,0,0,0,7,10,9,3,7.21,8,2,5,Yes
S00138,0,1,1,1,1,0,0,1,1,0,2,6,5,1,8.29,1,1,8,No
S00139,1,0,0,0,1,0,1,0,0,0,1,9,9,4,7.72,7,2,3,Yes
S00140,0,1,1,1,1,0,1,0,0,1,9,1,10,3,5.35,7,0,8,Yes
S00141,0,0,1,1,0,1,1,0,1,0,3,2,1,2,6.21,7,3,4,No
S00142,1,1,1,1,0,1,1,0,0,0,5,5,9,8,5.82,7,3,8,Yes
S00143,1,1,1,1,1,0,1,0,1,0,5,3,5,2,6.21,8,3,5,Yes
S00144,1,0,0,1,1,1,1,0,0,0,9,7,3,4,8.3,4,0,4,Yes
S00145,1,0,0,1,0,0,1,0,0,0,9,10,7,3,5.86,8,2,8,Yes
S00146,1,1,0,1,1,0,1,1,1,0,5,6,9,2,6.11,8,1,8,Yes
S00147,0,0,1,0,0,1,0,1,0,0,9,2,8,9,5.77,8,3,7,Yes
S00148,1,1,1,0,0,0,0,1,0,1,7,4,6,7,9.44,2,1,2,No
S00149,1,1,1,0,1,1,1,0,1,1,7,3,2,7,6.57,4,0,3,Yes
S00150,1,0,1,1,0,0,1,0,0,0,1,8,5,3,7.75,8,2,6,Yes
S00151,0,1,0,0,1,1,1,1,0,0,2,6,7,4,7.15,7,3,0,Yes
S00152,1,1,0,1,1,0,1,1,0,0,5,1,1,3,8.35,4,1,3,No
S00153,1,1,0,1,1,1,0,0,1,0,9,4,6,10,8.62,7,3,6,Yes
S00154,1,1,1,1,0,1,1,1,1,1,10,8,10,3,5.37,1,0,7,Yes
S00155,0,1,1,0,1,1,1,0,1,1,8,2,5,10,8.12,7,3,5,Yes
S00156,1,1,0,1,1,1,0,1,1,0,7,2,2,1,8.19,4,2,8,Yes
S00157,0,1,1,0,1,0,1,0,0,1,4,5,6,5,7.38,6,3,1,Yes
S00158,0,1,0,0,1,0,0,0,1,0,7,9,7,3,9.56,5,2,7,Yes
S00159,1,1,0,1,1,0,0,1,0,0,9,6,1,9,8.5,2,1,8,Yes
S00160,0,1,0,0,0,0,0,1,0,0,9,9,6,3,6.59,4,2,4,No
S00161,1,1,0,1,1,0,0,1,1,0,3,6,10,6,7.72,0,1,2,Yes
S00162,0,0,1,1,0,0,0,0,1,0,7,1,1,8,5.56,2,2,8,No
S00163,0,0,0,1,1,1,0,0,0,1,7,10,4,8,5.23,8,0,1,No
S00164,1,0,0,0,1,1,1,0,1,1,9,6,7,4,5.88,5,2,5,Yes
S00165,1,1,1,0,1,1,1,0,1,0,9,7,9,2,6.21,1,0,2,No
S00166,0,1,1,1,1,1,1,0,0,0,1,4,4,5,7.33,0,2,8,No
S00167,1,1,1,1,1,1,0,0,1,0,5,1,5,9,8.0,0,3,5,Yes
S00168,1,0,0,1,1,1,1,1,0,0,1,1,7,10,7.37,8,3,3,Yes
S00169,1,1,0,1,0,0,1,1,0,0,5,4,2,10,6.64,7,3,7,Yes
S00170,0,0,0,0,0,0,1,1,0,0,5,2,2,8,7.36,0,1,5,No
S00171,0,0,0,0,1,1,1,0,0,1,8,3,6,5,6.22,2,3,1,No
S00172,1,1,1,0,0,0,1,0,1,0,2,8,3,6,5.55,0,1,6,No
S00173,1,1,0,0,1,1,0,0,1,0,8,3,9,3,9.19,5,0,6,Yes
S00174,1,1,0,0,0,0,1,0,1,0,10,7,3,3,6.99,7,3,1,Yes
S00175,0,1,1,1,1,1,1,1,1,0,6,2,6,9,7.51,2,0,5,Yes
S00176,1,1,1,1,1,1,1,0,1,0,7,10,8,4,7.28,8,0,2,Yes
S00177,0,0,0,1,0,1,1,0,1,0,1,3,2,2,8.66,8,2,3,No
S00178,1,1,0,0,0,1,1,0,1,1,4,7,6,6,7.76,6,0,0,No
S00179,0,1,0,1,1,1,1,0,1,0,6,9,1,8,9.06,6,2,2,Yes
S00180,1,1,0,0,1,0,0,0,0,1,7,2,7,6,9.1,5,0,0,No
S00181,1,0,0,0,0,1,0,0,0,0,6,8,3,6,9.65,0,1,2,No
S00182,1,0,1,0,0,0,1,1,1,1,7,2,2,7,8.91,4,2,6,Yes
S00183,0,0,0,1,1,0,1,0,0,1,3,5,10,5,5.06,7,3,5,Yes
S00184,0,0,0,1,1,1,1,0,0,0,5,1,8,3,8.33,6,0,3,No
S00185,1,1,0,1,0,0,0,1,0,0,7,10,5,8,6.75,3,0,8,Yes
S00186,0,1,1,0,0,0,1,0,0,0,6,9,10,2,9.97,4,0,6,Yes
S00187,0,1,1,0,1,0,1,0,0,0,3,10,10,1,5.13,2,2,7,No
S00188,0,1,1,1,1,0,1,0,0,0,8,1,6,6,7.85,8,2,1,Yes
S00189,1,0,0,1,1,0,0,0,0,1,3,9,3,4,6.82,7,2,4,No
S00190,1,1,1,0,0,0,0,1,0,0,2,4,7,6,8.41,1,3,2,No
S00191,1,1,0,1,0,0,0,0,0,1,3,6,10,8,6.19,5,0,0,Yes
S00192,0,1,0,0,1,0,0,1,1,0,5,7,1,5,7.07,6,2,8,Yes
S00193,0,1,1,1,0,0,1,1,0,1,6,7,6,10,9.38,5,2,6,Yes
S00194,0,0,1,0,0,1,0,0,0,0,3,8,10,8,9.46,1,0,6,No
S00195,1,1,1,1,1,1,0,1,1,0,3,9,7,7,5.88,8,3,5,Yes
S00196,1,0,1,1,0,0,1,0,0,1,4,5,3,10,7.22,6,0,1,No
S00197,0,1,0,1,1,0,1,0,0,0,3,2,4,10,5.16,7,0,8,No
S00198,0,1,0,0,1,1,1,1,1,0,6,6,9,8,9.08,7,3,3,Yes
S00199,0,0,0,1,0,0,0,0,0,0,4,10,8,4,6.71,7,2,7,Yes
S00200,0,0,0,0,1,0,0,0,0,0,1,6,5,4,9.88,2,2,3,No
S00201,0,1,1,1,1,1,0,1,0,1,1,1,6,3,8.02,4,0,1,No
S00202,1,1,0,0,0,0,1,0,0,0,3,2,3,7,8.74,7,1,3,No
S00203,1,1,1,1,1,0,0,1,1,1,8,4,2,2,7.13,5,2,1,Yes
S00204,0,1,1,1,0,0,0,1,1,0,8,3,4,4,8.27,0,2,8,No
S00205,0,0,0,1,0,1,1,0,0,0,5,1,8,6,5.27,2,2,7,No
S00206,1,1,0,1,0,0,0,0,0,0,10,7,7,9,6.75,4,1,7,Yes
S00207,1,0,0,1,1,1,0,0,0,0,4,8,3,2,9.35,8,1,6,Yes
S00208,0,0,1,1,1,1,1,0,0,0,3,1,6,9,9.44,6,1,6,Yes
S00209,1,1,1,0,0,1,1,1,0,0,8,6,8,2,8.57,1,0,7,Yes
S00210,1,1,0,1,1,1,1,0,0,1,10,3,3,9,9.21,6,1,2,Yes
S00211,1,1,1,1,0,0,1,1,1,0,10,7,6,10,9.11,4,1,4,Yes
S00212,0,1,1,1,0,1,1,1,0,0,2,9,2,10,8.32,5,1,1,Yes
S00213,0,1,1,1,0,1,1,0,1,0,9,10,5,5,8.84,6,2,8,Yes
S00214,1,1,0,1,0,1,0,0,0,0,9,3,4,2,5.17,0,1,6,No
S00215,0,0,0,0,1,1,1,1,0,1,2,2,1,4,8.27,7,2,8,No
S00216,1,1,0,1,1,0,0,0,0,0,3,2,7,5,8.17,0,2,7,No
S00217,1,0,0,0,1,0,0,0,0,0,1,4,8,1,8.71,4,2,7,No
S00218,0,1,0,1,0,0,1,0,0,0,8,3,9,4,7.29,4,0,3,No
S00219,0,0,0,1,0,1,1,0,1,0,2,7,7,9,8.91,6,3,7,Yes
S00220,0,0,1,0,1,1,0,0,0,1,6,8,7,9,6.67,4,0,6,Yes
S00221,0,1,0,1,0,0,1,0,0,1,7,7,7,7,8.42,2,3,7,Yes
S00222,0,0,1,1,0,0,0,0,1,0,5,10,2,7,9.27,6,3,7,Yes
S00223,1,1,1,1,0,1,0,0,1,0,5,6,9,10,8.42,5,1,7,Yes
S00224,1,0,1,0,0,1,1,0,0,0,2,8,6,2,8.35,8,3,1,Yes
S00225,1,0,0,1,1,1,1,0,1,0,4,1,10,5,7.48,7,2,2,Yes
S00226,1,1,0,0,0,0,1,0,1,1,9,5,10,7,7.95,6,3,8,Yes
S00227,0,1,0,1,1,1,1,0,0,1,7,5,10,7,9.18,7,3,4,Yes
S00228,1,1,0,1,0,0,0,0,1,0,6,7,4,1,9.65,0,0,7,No
S00229,0,1,1,1,0,1,1,0,0,0,6,6,8,8,7.05,7,3,6,Yes
S00230,0,0,0,1,1,0,0,0,0,1,2,2,7,10,8.29,1,1,7,No
S00231,0,0,0,1,1,1,1,1,1,1,9,4,1,1,6.59,5,1,7,No
S00232,1,1,0,0,1,1,1,0,0,0,7,5,5,10,8.23,8,2,2,Yes
S00233,0,0,0,0,0,1,1,1,1,0,6,6,5,9,8.78,8,3,8,Yes
S00234,1,0,1,1,0,1,1,0,0,1,2,7,5,7,9.06,3,1,6,Yes
S00235,1,1,1,0,1,0,0,0,0,0,4,7,3,8,9.99,0,3,7,Yes
S00236,0,1,1,0,1,1,1,0,0,1,9,9,4,7,8.13,4,0,5,Yes
S00237,1,1,0,1,0,0,1,0,0,1,10,10,7,1,9.49,1,0,3,No
S00238,1,0,1,1,0,0,1,1,1,0,2,7,3,1,7.18,1,2,8,No
S00239,0,0,1,1,0,0,1,1,1,0,10,10,6,9,6.87,1,2,8,Yes
S00240,1,1,1,1,1,0,1,0,1,0,2,7,10,8,7.46,0,1,7,Yes
S00241,0,1,0,0,1,0,1,0,0,1,1,3,4,3,5.96,0,1,3,No
S00242,0,0,0,1,1,0,1,0,0,0,4,2,5,8,6.82,3,3,3,No
S00243,0,0,0,0,1,0,1,0,0,0,10,5,10,5,8.75,3,1,5,Yes
S00244,1,0,1,0,1,1,1,0,0,1,4,6,8,10,6.69,0,3,5,Yes
S00245,1,1,1,1,1,0,1,0,0,0,7,7,8,7,6.21,5,3,3,Yes
S00246,0,1,0,1,0,1,0,0,1,0,3,9,5,8,7.03,8,2,1,Yes
S00247,1,1,0,0,0,0,1,0,0,0,4,5,6,1,6.22,0,0,1,No
S00248,0,1,1,1,1,0,1,0,0,1,3,4,6,7,5.91,0,0,6,No
S00249,0,0,1,0,0,1,0,1,0,1,3,6,4,1,6.27,0,1,2,No
S00250,0,1,1,1,1,0,1,0,0,1,10,7,1,6,7.56,6,0,5,Yes
S00251,1,0,1,0,0,0,0,0,0,0,6,1,6,3,8.16,4,2,6,Yes
S00252,1,1,0,0,0,1,0,0,0,0,3,10,2,8,9.56,6,1,2,No
S00253,0,0,0,1,0,1,1,0,0,0,6,4,9,4,5.38,1,0,3,No
S00254,1,1,1,1,0,1,0,0,0,1,3,9,1,7,6.56,3,1,4,No
S00255,1,1,1,1,0,0,0,1,1,1,4,1,7,7,9.96,2,1,8,Yes
S00256,0,1,0,1,0,1,0,0,0,0,7,7,8,8,9.82,2,3,1,Yes
S00257,0,1,0,0,0,1,0,0,0,1,10,8,8,2,9.99,3,2,7,Yes
S00258,0,0,1,1,0,1,1,0,0,0,1,3,9,5,7.38,4,3,6,Yes
S00259,0,1,0,1,1,0,1,0,0,0,7,5,4,6,5.03,8,3,6,Yes
S00260,1,1,1,0,0,0,1,0,0,1,1,5,8,1,7.55,6,2,2,Yes
S00261,0,0,1,1,0,0,1,0,1,0,10,9,9,1,9.37,4,0,2,Yes
S00262,0,0,1,0,1,0,1,0,0,1,1,7,8,8,7.6,3,0,2,No
S00263,1,1,1,1,1,0,1,0,0,0,10,4,7,9,8.22,5,1,8,Yes
S00264,1,0,0,1,0,1,1,1,0,0,3,9,3,4,8.38,4,2,4,Yes
S00265,0,1,0,1,0,1,0,0,1,0,3,7,9,10,9.58,4,0,2,Yes
S00266,0,1,0,1,1,1,1,0,1,1,3,6,10,5,9.35,0,0,2,Yes
S00267,0,1,1,0,0,1,1,1,0,0,7,4,4,3,9.81,8,1,3,Yes
S00268,0,1,1,1,1,1,1,0,1,0,1,4,5,7,9.12,6,1,1,Yes
S00269,1,1,0,1,0,0,0,1,1,0,1,5,5,7,6.31,3,3,4,Yes
S00270,1,1,0,1,1,0,1,1,0,1,9,1,3,4,8.68,7,2,5,Yes
S00271,0,1,0,1,1,1,1,0,1,0,8,4,10,8,6.83,4,2,8,Yes
S00272,0,0,1,0,0,1,1,0,0,1,7,1,7,9,6.15,8,3,1,Yes
S00273,0,1,0,1,0,1,0,0,0,0,5,3,4,8,5.81,6,3,0,No
S00274,0,0,1,1,0,1,1,0,0,1,7,3,9,7,6.46,3,1,0,No
S00275,1,0,1,1,1,1,0,0,0,1,2,1,7,2,7.94,8,0,2,No
S00276,1,1,1,1,1,1,1,0,0,1,6,3,6,9,6.0,7,2,6,Yes
S00277,0,1,1,1,0,1,0,1,0,0,2,1,10,1,8.6,4,1,0,No
S00278,0,1,0,1,0,1,1,1,0,0,8,7,3,10,8.47,7,1,1,Yes
S00279,0,0,1,0,1,0,1,0,1,0,6,1,9,5,7.13,7,3,0,Yes
S00280,0,1,0,1,0,1,1,0,1,0,4,5,9,3,8.7,4,1,3,No
S00281,0,1,0,1,0,1,1,1,1,1,9,3,1,6,6.88,5,1,1,No
S00282,1,0,0,0,1,1,1,0,0,1,6,10,3,3,6.87,2,1,3,No
S00283,1,1,1,1,1,1,1,0,0,0,4,2,9,7,5.08,1,2,1,No
S00284,1,1,0,1,1,0,1,0,0,1,6,6,8,2,5.04,7,3,8,Yes
S00285,0,1,1,1,0,1,1,0,1,0,5,3,9,1,9.34,0,1,0,No
S00286,1,0,0,0,0,1,1,0,0,1,5,1,1,7,8.92,2,3,3,No
S00287,1,0,1,1,1,0,0,0,1,0,10,10,5,3,7.64,7,0,6,Yes
S00288,1,1,0,1,0,1,1,0,0,1,4,2,9,2,6.93,7,3,6,Yes
S00289,1,1,1,1,0,1,0,0,1,0,9,4,4,10,6.87,1,3,4,Yes
S00290,0,0,1,1,1,0,1,1,1,1,10,1,7,1,8.24,8,3,4,Yes
S00291,1,0,1,1,1,0,1,0,0,0,10,9,10,1,7.94,6,0,3,Yes
S00292,1,0,0,0,1,1,1,0,0,0,3,9,3,2,5.14,7,2,8,Yes
S00293,0,1,0,1,0,1,1,1,0,0,6,8,8,3,7.24,3,3,0,Yes
S00294,1,0,1,1,1,1,0,0,0,0,9,8,1,1,5.68,3,0,6,No
S00295,1,1,0,1,1,1,0,0,1,1,7,8,4,2,7.74,4,2,6,Yes
S00296,1,1,0,0,0,1,1,0,0,1,4,4,10,10,5.54,2,3,0,No
S00297,0,0,0,0,0,0,1,0,1,0,8,9,6,3,9.71,1,1,2,No
S00298,1,1,1,0,1,1,0,1,1,0,2,7,4,3,8.15,4,1,2,No
S00299,0,0,0,0,0,1,0,0,0,0,9,10,9,2,7.05,7,2,0,Yes
S00300,1,1,0,0,0,0,1,0,0,0,7,2,3,10,9.2,6,3,0,Yes
S00301,1,0,0,0,0,1,1,0,1,0,8,9,1,3,7.34,2,2,1,No
S00302,1,1,1,0,1,0,1,0,0,1,7,5,4,4,9.17,7,3,2,Yes
S00303,1,0,1,1,0,0,0,0,0,0,9,3,7,10,5.78,8,1,6,Yes
S00304,0,1,1,0,0,1,1,1,1,0,1,7,5,9,9.4,6,2,0,Yes
S00305,0,1,0,1,0,0,1,0,1,0,8,4,5,9,6.75,8,2,5,Yes
